aalost alost
aardvark anteat
abamp abamper
abas humili
abatti abati
abattoir butcheri
abaxi dorsal
abbot archimandrit
abc alphabet
abdia obadiah
abdic renounc
abdomen venter
abduc cite
abductor kidnapp
abet instig
abett abettor
abey suspens
abhor abomin
abi aton
abiogenesi autogenesi
abjectli resignedli
abjur retract
abkha abkhaz
abkhasian abkhazian
abkhazia abkhaz
abl capabl
ablat extirp
ablism ableism
abnormalci abnorm
abo aborigin
aboard onboard
abod resid
abolish abolit
abor mirish
aboul abul
abound galor
abrog annul
abruptli dead
absent scatti
absentmind scatti
absentmindedli inattent
absolv justifi
absolvitori forgiv
absquatul decamp
abstain desist
abstent abstin
abstracted abstract
abstractedli inattent
abstraction unreal
abstractionist nonfigur
abstractor abstract
abstrus recondit
abulia aboulia
abundantli copious
abut adjoin
abuzz buzz
aby aton
abyla abila
abyssinia yaltopya
academia academ
academician schoolman
acanth acanthoid
acapn acapni
acapnot acapni
acaracid acaricid
acaridiasi acariasi
acariosi acariasi
acaryot akaryocyt
acaulesc stemless
accel acceleratori
accentu punctuat
accessari accessori
accid fortuiti
acclaim hail
acclimatis acclimat
accolad award
accommodatingli obligingli
accompanist accompanyist
accomplic confeder
accordion plicat
accoucheur obstetrician
accout accoutr
accouter accoutr
accredit recognis
accru fall
accrual accruement
accumb reclin
accur exact
accuraci truth
accurs accurst
aceph acephalia
acephali acephalia
acer acicular
aceros acicular
acet ethano
acetabular cotyloid
acetaminophen panadol
acetonemia ketonemia
acetonuria ketonuria
acetophenetidin acetphenetidin
acetum vinegar
acetylen alkyn
acetylis acetyl
achaian achaean
acheronian acheront
achira arrowroot
achondroplasti achondroplasia
achromasia pallor
achromatis achromat
achromycin tetracyclin
acidur acidophil
acin acinar
acinos acinar
acn pimpl
acocanthera acokanthera
acor azor
acousticophobia phonophobia
acquaintanceship acquaint
acquiesc compliant
acquisit learn
acquit exculp
acquitt releas
acr estat
acraga agrigento
acridida locustida
acrilan polypropenonitril
acroanesthesia acroanaesthesia
acrocephali oxycephali
acromegali acromegalia
acromikria acromicria
acrylonitril propenonitril
actinaria actiniaria
actinian actinia
actiniarian actinia
actinium ac
actinoid actinid
actinon actinid
actinotherapi radiotherapi
actinozoa anthozoa
acuiti acut
acular toradol
acumen insight
acupressur shiatsu
acupunctur stylostixi
ad advertis
adactyl adactyli
adactylia adactyli
adag proverb
adalia antalya
adamantin adam
add suppli
addabl addibl
addict hook
addl wooli
addlehead birdbrain
addlep addlebrain
adduct adduc
adenoid pinch
adept whiz
adequ passabl
adermin pyridox
adh pitressin
adhd mbd
adhes bond
adieu bye
adio bye
adipos fatti
adiposi corpul
adjac next
adjudicatori adjud
adjur beseech
adjuv accessori
adman advertis
admittedli true
admonitori reprov
adnex annex
adnexa annexa
ado hustl
adpress appress
adrenalin epinephrin
adrenocorticotroph adrenocorticotrop
adrenocorticotrophin acth
adrenocorticotropin acth
adrian hadrian
adrianopl adrianopoli
adrift drift
adroit quick
adulteri fornic
adust bake
adversari oppos
advertiz advertis
advil ibuprofen
advisor consult
adzharia adzhar
aegi egi
aegina aigina
aegir bore
aegospotami aegospotamo
aengu oengu
aeoli aeolia
aeon eon
aerifi vapor
aeriform ether
aerob aerophil
aerodrom airdrom
aerodynam aeromechan
aeroembol bend
aerofoil surfac
aerogener windmil
aerogram aerogramm
aeroplan airplan
aesculapian medic
aesthetician esthetician
aether ether
aetiologist etiologist
afeard afear
affected pose
affectingli poignantli
affix supplement
afforest forest
affright scare
afghani paxto
afir ablaz
aflam ablaz
aflar flare
aflick flicker
aflutt nervou
afoot underwai
aforesaid aforement
aforethought plan
afrikan afrikand
afroasiat afrasian
aft abaft
after dessert
aftersens afterimag
agalactosi agalactia
agam apomict
agamogenet apomict
agap gape
agaz stare
ageism agism
ageless perpetu
agen agenis
agenda schedul
agenesi agenesia
agglom agglomer
aggrand embellish
aggrandis embellish
aggrandiz elev
aggrav provok
aggressor assault
aggriev griev
agha aga
agio agiotag
agkistrodon ancistrodon
aglet aiguilett
aglow lambent
agnail hangnail
agniz agnis
agnostic sceptic
ago agon
agora forum
agranulocytosi granulocytopenia
agranulosi granulocytopenia
agrest rustic
agriculturist grower
agrimoni agrimonia
agu acut
aguac avocado
aidoneu aid
aigret aigrett
ailment ill
aimless purposeless
ain own
aircraftsman aircraftman
airfield field
airfoil surfac
airili flippantli
airman flyer
airport airdrom
airpost airmail
airscrew prop
airship dirig
airsick carsick
airstream race
airwai skywai
airwav air
aizoacea tetragoniacea
ak alaska
akaba aqaba
akaryot akaryocyt
ake acke
aken aachen
akha hani
akhenaton akhenaten
akinesia akinesi
akka accho
akko accho
akmola astana
aku yoruba
ala regrett
alabama al
alabaman alabamian
alacr brisk
alarum alarm
alastrim pseudosmallpox
albinist albin
albinot albin
albizia albizzia
alborg aalborg
albumin albumen
albuterol ventolin
alcapton alkapton
alchemis alchem
alcyon halcyon
aldacton spironolacton
alderman aldermanli
aldomet methyldopa
aldosteron hyperaldosteron
aleppo alep
aleutian aleut
alev aflaxen
alfilaria clock
alfileria clock
alfr aelfr
alfresco outdoor
algarobilla algarroba
algarrobilla algarroba
algeri algeria
alibi excus
aliform alari
alight light
alimentari nutrit
alin coalit
alir interahamw
alismal naiadal
alkahest alcahest
alkalesc alcalesc
alkali base
alkalinuria alkaluria
alkalis alkal
alkaptonuria alcaptonuria
alkeran melphalan
alki dipsomaniac
all total
allay comfort
allegi loyalti
allegoris allegor
allei alleywai
allel allelomorph
allen graci
allerg hypersensitis
alleviatori mitigatori
allhallow hallowmass
alli friend
allioniacea nyctaginacea
allmouth anglerfish
allocat apportion
allosaur allosauru
allot portion
allotropi allotrop
alluvi sediment
alluvium alluvion
